Interests,Stemmed Related Words
Trigonometry,trigonometr mathemat geometri trigonometr function astronomi geodesi survey navig triangul spheric geometri trig angl chord triangl spheric trigonometri math celesti mechan spheric calculu sine arithmet algebra similar algebra mathemat precalculu hypotenus ptolemi s tabl of chord euler s formula mnemon optic biolog nasir al din al tusi law of tangent pythagorean theorem measur sumer period function babylonian math nubia complex number euclid archimed hipparchu ptolemi almagest byzantin nicaea polymath law of sine law of cosin ancient greek greek languag germani unit circl geometr hellenist period analyt aryabhata formula comput geometri formal siev trigonometr function mathemat noncommut hydrodynam mechanist gener particl perturb hyperbol pipett cartesian
Complex Numbers,complex imaginari number field argument polynomi euler s formula complex analysi multivalu function topolog fundament theorem of algebra absolut valu gerolamo cardano electr current cubic equat real number order field number orient electromagnet turn field extens arg radian complex plane vector space quotient ring phasor polynomi ring electr engin order pair jean robert argand princip valu domain color nth root irreduc polynomi casu irreducibili algebra close field rafael bombelli william rowan hamilton hellenist mathemat involut complex conjug de moivr s formula carl friedrich gauss metric arctan algebra spinor matrix coeffici linear order indetermin ideal set vector multipl invers origin one dimension two dimension radiu ci electron complex logarithm amplitud quaternion quaternion ad pyramid atan mandelbrot set imaginari unit polynomi equat cubic equat ration number number line frustum
Algebra,algebra mathemat linear algebra arithmet geometri polynomi matrix quadrat equat graph vector arab languag abstract algebra field multipl linear equat algorithm ring function group math number theori group theori equat number algebra calculu variabl matrix algebra vector algebra theorem combinator trigonometri infinitesim calculu elementari algebra the compendi book on calcul by complet and balanc persian peopl quaternion logic diophantin equat algebra equat polynomi addit squar hero of alexandria analyt geometri algebra geometri divis subtract inequ constant transposit math physic engin permut survey e=mc construct quadrat busi account algebra associ boolean linear oper analyt mathemat commut equival finit planar area of mathemat diagram symmetr comput
Probability,probabl likelihood risk mathemat measur odd condit probabl chanc dice probabl theori event random likeli correl estim joint probabl gambl physic probabl axiom function statist infer christiaan huygen pierre simon laplac statist financ scienc qualiti amount quantiti philosophi experi etymolog author wit europ nobil possibl suscept varianc probabilist probabl expect exceed like variabl probabl hypothesi paramet paramet potenti equat calcul correspond theoret calcul impli hazard prospect occurr believ approxim cryptographi plausibl deviat eventu possibl well defin might calcul optim finit believ approxim veloc augustu de morgan measur
Linear Algebra,linear algebra matrix geometri mathemat line matrix multipl gaussian elimin kernel axiom linear equat function analysi vector space mathematician engin gottfri wilhelm leibniz plane rotat coordin determin geodesi basi physic mathemat model system of linear equat rené descart algorithm analyt geometri cartesian geometri cramer s rule algebra sequenc map isomorph abelian group isomorph quantum mechan invers imag gauss quaternion vector ident matrix telegraph manifold peano field equipol set element function biject rang geometr transform subset linear map imag nonlinear system cardin invert matrix dimens the nine chapter on the mathemat art algebra combinator trigonometri math mathemat calculu arithmet polynomi logarithm comput fortran bioinformat integr fractal enzymolog linguist
Differentiation,differenti special specialis distinct function demarc contrast discrimin differenti morphogenesi evolut heterogen mathemat adapt biolog line contradistinct oper adjust adapt secern word split hairsplit neuron neural inhibit matur correl activ somat suscept induc inhibit slope gene mammalian apoptosi metabol genet pathway mitochondri plastic inhibit replic comput inhibit differenti pathway fibroblast polar elong phenotyp distinguish homolog organ progress pattern mechan recombin analog progenitor mutat diversif reprogram linear reproduct aberr transloc causal cell exponenti protein related invers bacteri intrins
Vector,vector scalar radiu vector variabl carrier agent paramet vector product integ dimens transmitt mathemat size viru fauna creatur brute beast anim result ray genet microorgan vector direct micro organ cosmid finit discret equival matrix linear distanc tensor symmetr matric subset euclidean topolog invers multipl coeffici function tangent subspac invari probabl orthogon logarithm fourier formula formula formula denot convolut correspond dimension cartesian exponenti gener scalar topolog variabl formula hilbert formula algorithm function formula equat comput formula paramet nonzero project logarithm
Coordinate Geometry,coordin geometri axi slope project project intercept origin project project transform complex ellipsoid project sine gradient trace trace who central coordin curv grid key organ time rectangular circumscrib circumscrib slope matrix normal pythagora touch touch devi asterisk cradl miz mix mix point rack setup tune write place accent circl construct crown crown design equival face figur figur inscrib line place base problem pyramid sector side similar solid sphere squar survey tangent term theta vertex complement cla affin
Redox Reactions,redox reaction polarographi stoichiometri arous output oxid valu activ ac ca circulatori cr fraction frequenc g ionic oscillatori oxid ph photosynthet postul quotient revers synthes tc oxidation reduct charact catalysi equilibrium feedback ferment enzym feeler effect bomb dander exotherm chemistri bomb bomb acceler adr adrenalin biochemistri ae albumin aldehyd alkali allerg biochem allergi chemic anaphylaxi answer antihistamin antioxid approach ar behaviour asthma atom atom behavior batteri atp attitud autoclav backlash basic allergi disproportion biphas lytic degrad fibrinolyt valenc
Quantum Theory,quantum cosmolog rel electromagnet electrodynam boson supersymmetri subatom relativist thermodynam theoret qcd metaphys theori mathemat physic singular theorem fermion electroweak fractal heisenberg astrophys superconduct newtonian physicist quantiz phenomenolog lamarckian boltzmann feynman invari epistemolog equat phenomenolog combinator leibniz quark dynam theoret teleolog teleolog monism positivist hadron spectroscopi momentum einsteinian superstr graviton anthrop psychohistori abiogenesi poincar supersolid superfluid antiparticl incommensur axion macroevolut baryon antineutrino cosmolog rel theori quantum electrodynam quantum chromodynam heisenberg uncertainti principl cosmolog constant magnet monopol strang quark euclidean geometri quantum mechan gener rel quantum physic newtonian mechan photoelectr effect
